Node,Community,X,Y
Caio Poeta,0,1.7749158828630136,-1.0498582288926706
Coachpoker,3,-1.4972936207015008,-1.206019231822071
Dewar B. Feliz Dotel,2,1.0043588448672505,-1.6078947082335753
Diego Zilleruelo,2,-0.11357916333988954,-2.429427921640993
Donát Daróczi,0,4.093291536074695,1.0101352977834777
Enrico Vianello,2,0.76413618914842,-1.810751131788
Filip Ochedzan,3,-3.968456978639386,1.6260676694437182
Florian Gatterer,2,-0.3262741933360895,-2.3799704865496816
Gabriel Petesch,0,0.26328344046007884,-2.235104663241632
Garv Gaur,2,-0.5505940914101825,-2.219690578210861
Gastón Martin,2,-1.2296843646842246,-1.5616910855388684
Gerson Príncipe,2,0.5384838776969182,-2.088619430915303
Grzegorz Kopacz,0,0.2963048883925182,-2.132581074440904
Guillermo José Llanos,2,0.3230638007286573,-2.1476116207036617
Harry Cun,2,-0.15421189305696614,-2.427089230038956
Ildar Idrisov,3,-0.7087608027161507,-2.086183134459153
Ind1anStar-inactive,0,3.013928757140394,0.08111728097625899
Jesus Martin Duque,0,0.32371139563422796,-2.1885445395562875
Joshua Colas,2,-0.4850722830741085,-2.338715502049549
Juan Antonio Urbina Perez,3,-4.701728858040368,2.473291079118243
Juan Manuel Aranda,0,1.1337090472930724,-1.5802520600251009
Juan Sebastian,0,4.784628560346191,1.7300475305595302
Karina Ivanova,2,1.57051649717063,-1.1961166370143366
Konstantin Egorov,2,-0.2903087285750299,-2.492003053004239
Koosha Jaferian,3,-3.2038655346904354,0.739032902398085
Leon Luke Mendonca,2,-0.8730812661894778,-1.9449408450804815
Levente Miszler,2,0.03592534324781072,-2.3883486594738232
Lovro Novosel,2,0.07129833252255721,-2.230983832272451
Maciej Świcarz,3,-0.5774569051978437,-2.2093899518507225
Maly Alexey,2,-0.24875957029924833,-2.4120996585245216
Marcos Vinicius Torsani,3,-3.202160217299662,0.6600500744578055
Margarita Zvereva,1,-0.33997907369100333,-2.142026772704117
Marko Perestjuk,0,2.106863298397374,-0.6293533526410092
Martin Mena,3,-2.6079623352057464,-0.011192994449929413
