Name,Solid_Style_Prob,Solid_Style_Score
Bernardo Vainzoff Sztokbant,0.7656251854325882,0.8545
Bharath Subramaniyam.H Harishankkar,0.12651123442715972,0.0746
Bianka Havanecz,0.3324559439488004,0.302
Bibisara Assaubayeva,0.47426841959911836,0.4883
BikingBrian,0.5137296161095062,0.5495
Bilel Bellahcene,0.9066875684995017,0.9662
Bintang Rasyid,0.6195631277234036,0.6898
Björn Andersson,0.282191436618363,0.2445
Blanka Ejsymont,0.30209158793886554,0.2668
Blaz Bratovic,0.42476722189887867,0.4182
Blazej Grot,0.3559042621715789,0.3302
BobbyFischer1508,0.3004661924418431,0.2642
Bobur Sattarov,0.640265099645552,0.7121
Bogdan Belyakov,0.7745997938567851,0.862
Bogdan Daniel Deac,0.9183361296360614,0.9725
Bogusz Piliczewski,0.5392744512925116,0.5855
Bojan Maksimović,0.7660966545619332,0.8557
Bojan Todorovic,0.5274975926904124,0.5688
Boris Bruned,0.504502532854168,0.5365
Boris Ferrufino,0.2026938348637796,0.1417
Boris Grachev,0.966269469178175,0.9941
Boris Savchenko,0.14361998699900114,0.0913
Boris Stankovic,0.12206089651548417,0.0724
Bovie Mei Liu,0.22403007433052627,0.1681
BozeKat,0.3734065434971563,0.3503
Brahian Diaz Herquinio,0.31007563835667845,0.2764
Brandon Jacobson,0.7623607280486666,0.8519
Brett Passen,0.40473674720100894,0.3904
Brewington Hardaway,0.3451796811490245,0.3173
Bruno André Leite Martins,0.6482188253009562,0.7239
Bruno Morado Rodrigues,0.5048854832425921,0.5369
Bryan Enming Lin,0.5947190396922808,0.6605
Bryan Weisz,0.20839651987256552,0.1477
Bryan Xie,0.2929259802771392,0.256
Bulat Mirzanurov,0.14659208441731528,0.0939
Burak Firat,0.3696417520890845,0.344
Burak Ozalp,0.41904176895134554,0.41
Buyankhishig Batpelden,0.2709689888237269,0.2293
Byambaa Uyanga,0.18065357217818567,0.1232
CAMPO ELIAS GUZMAN,0.39801145363712354,0.3803
Caio Poeta,0.3775927043335016,0.3562
Caleb Levi,0.7239386897194199,0.8111
Calin Gheorghiu,0.2907411400384336,0.2531
Camilo Corredor Castellanos,0.4875153955996777,0.5147
Carles Martín Barceló,0.7470654136456976,0.8341
Carlos Alberto Gallegos Diaz,0.6985795988761307,0.7844
Carlos Alvarado,0.47292439966279415,0.4872
Carlos Andres Obregón,0.24748142166514028,0.1996
Carlos Andres Perdomo,0.5009690110566363,0.5317
Carlos Daniel Albornoz Cabrera,0.6124718078295841,0.6813
Carlos Eduardo Cardozo Munar,0.5065394214958502,0.5384
Carlos Martins,0.2558246921887525,0.2104
Carlos Morales,0.23134087386424357,0.1759
CarlosjPineror,0.7443937500852844,0.8315
Casper Liu,0.26824786888245045,0.223
Cedric Chassard,0.7756984337022595,0.8642
Cem Kaan Gokerkan,0.6885735708608346,0.7722
Cengiz Hasman,0.1453697217400926,0.0931
Cervantes Landeiro Thalia,0.20962723631211264,0.1488
Cesar Ugarte,0.523016014540905,0.5625
Chamal Gedgaf,0.3776634549267501,0.3566
Chanchal Kumer Ghosh,0.13606644048732022,0.0827
Charles Storey,0.755379403133465,0.8434
Chelsie Monica Ignesias Sihite,0.08733935938139178,0.0378
Cherry Ann Mejia,0.8978840963284659,0.964
Chesswizard_2007,0.39354302056744667,0.374
ChessyInstinct,0.5718213835139061,0.6297
Chris Baker,0.5372794237686753,0.5818
Chris L Chambers,0.5005357539755038,0.531
Christian Almeida do Nascimento,0.467076316786782,0.4783
Christian Gian Karlo Arca,0.45526006170876376,0.4609
Christian Koepke,0.5353169364264693,0.5788
Christian Polster,0.3135613715874701,0.2787
Christian Silvestre,0.4773507688100607,0.4954
Christian Stevens,0.9253743263729405,0.9763
Christiansen Sava,0.5343098525976944,0.5774
Christof Sielecki,0.9270141419944575,0.9777
Christopher Chabris,0.3160727118776931,0.282
Christopher Guzman,0.24509936851038,0.1955
Christopher Pace,0.3822062604967605,0.3618
Christopher Woojin Yoo,0.870245229818986,0.9391
Christos Krallis,0.654259876530498,0.7317
Cindy Qiao,0.15752524491853498,0.1024
Claudius Gottstein,0.8157413182970418,0.9017
Clemens Rietze,0.10383925491339303,0.0553
Clement Cristian Daianu,0.3092897866042595,0.2757
Coachpoker,0.31421788637163084,0.279
Collin Colbow,0.683854987603544,0.7655
Colombiano07,0.5871009591788482,0.6482
Conrad Holt,0.861299710265944,0.9347
Conrad Thake,0.27978737322433656,0.2419
Cptn2,0.40141307874053656,0.384
Craig Clawitter,0.4928115370307286,0.5202
Cristhian Montero,0.7584772310543734,0.8456
Cristhian Portal,0.20808673511796022,0.1469
Cristi Machidon,0.8332279939694456,0.9165
Cristian Adrian Dolezal,0.5889271700304402,0.6534
Cristian Robledo,0.34510047087032686,0.3169
Cristian Sanhueza,0.7735437181671656,0.8601
Cristian Silva Lucena,0.5296528715421722,0.5722
Cristiano G Souza,0.3982493375112467,0.3818
Cristobal Henriquez,0.45920683366055304,0.4683
Cumali Unver,0.8418352369641591,0.9228
Cyrielle Monpeurt,0.08913673752042234,0.0408
César Augusto Blanco Gramajo,0.6109845831955363,0.6798
Dachey Lin,0.19651102601829595,0.1351
Dalton Perrine,0.6604842255143217,0.7421
Damian Lewtak,0.790092790531775,0.8783
Damian Śliwicki,0.12580298140385102,0.0735
Damir Ismagilov,0.7147153785638638,0.8041
Dan Herman,0.6437361148042208,0.7165
Dan Shapiro,0.3880183566196814,0.3666
Dana Tuleyeva-Aketayeva,0.6287784221729357,0.7017
Daniel Aguiar De Sousa,0.28209367070293667,0.2442
Daniel Barria,0.5993881992033404,0.6686
Daniel Beniosev,0.1784341553029311,0.1217
Daniel Centron Antuna,0.511971367924828,0.5469
Daniel Chan,0.02463297749281271,0.0037
Daniel Cremisi,0.5417916074044381,0.5904
Daniel Dardha,0.4396003182432581,0.439
Daniel Garcia Ramos,0.5759939070888189,0.6364
Daniel Girsh,0.2314149055513358,0.1763
Daniel Gormally,0.6537983665417658,0.731
Daniel Gutiérrez Olivares,0.22551682668739756,0.1699
Daniel Kopylov,0.7997409025802529,0.8887
Daniel Marcolino,0.5411538795483379,0.5885
Daniel Melamed,0.9152498644674661,0.9703
Daniel Naroditsky,0.7397296023503006,0.8267
Daniel Pinto,0.8819119222436228,0.9506
Daniel Rangel,0.13320592343903265,0.0805
Daniel Ser,0.202251045245242,0.141
Daniel Taboas Rodriguez,0.8760510083995792,0.9455
Daniel Tabuenca Mendataurigoitia,0.5070750676939785,0.5395
Daniel Teidi Awoki,0.8236092426910616,0.9098
Daniel Titichoca Daza,0.08458131680736698,0.036
Daniel Yedidia,0.8000157332989459,0.8891
Daniil Dubov,0.7993241181000853,0.8876
Daniil Lintchevski,0.9646990237655754,0.9933
Daniil Manelyuk,0.11921250451749835,0.0694
Daniil Plyasunov,0.6046255695603373,0.6735
Danila Bilan,0.8740151672067273,0.9429
